"name","genres","director","actor1","actor2","actor3","color","plotkey","language","year","score"
"Justin Bieber: Never Say Never ","Documentary|Music","Jon M. Chu","Usher Raymond","Sean Kingston","Boys II Men","Color","boyhood friend|manager|plasma tv|prodigy|star","English",2011,1.6
"Foodfight! ","Action|Animation|Comedy|Family|Fantasy","Lawrence Kasanoff","Jerry Stiller","Larry Miller","Harvey Fierstein","Color","femme fatale|food|pun|supermarket|troubled production","English",2012,1.7
"Disaster Movie ","Comedy","Jason Friedberg","Carmen Electra","Tony Cox","Ike Barinholtz","Color","disaster|glass|mousetrap|natural disaster|scatological humor","English",2008,1.9
"Superbabies: Baby Geniuses 2 ","Comedy|Family|Sci-Fi","Bob Clark","Scott Baio","Vanessa Angel","Peter Wingfield","Color","computer|good versus evil|mind control|science experiment|sequel","English",2004,1.9
"The Helix... Loaded ","Action|Adventure|Comedy|Fantasy|Sci-Fi","A. Raven Cruz","Scott Levy","Vanilla Ice","Jennifer Sky","Color","cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent","English",2005,1.9
"United Passions ","Drama|History|Sport","Frédéric Auburtin","Fisher Stevens","Thomas Kretschmann","Jemima West","Color","20th century|association|fifa|football|world cup","English",2014,2
"Who's Your Caddy? ","Comedy|Sport","Don Michael Paul","Jeffrey Jones","Faizon Love","Lil' Wayne","Color","2000s|golf caddy|golf course|golfer|question mark in title","English",2007,2
"From Justin to Kelly ","Comedy|Musical|Romance","Robert Iscove","Anika Noni Rose","Kelly Clarkson","Brian Dietzen","Color","bar|florida|love|spring break|waitress","English",2003,2.1
"Glitter ","Drama|Music|Romance","Vondie Curtis-Hall","Mariah Carey","Max Beesley","Valarie Pettiford","Color","cult film|disc jockey|female protagonist|music business|one word title","English",2001,2.1
"Crossover ","Action|Sport","Preston A. Whitmore II","Wesley Jonathan","Wayne Brady","Eva Marcille","Color","african american|basketball|basketball movie|critically bashed|tv commercial","English",2006,2.1
